peso_real_kg,valor_digital
1.19,405.8782
1.19,359.6048
1.19,325.6173
1.19,358.0761
1.19,213.6473
1.19,286.1888
1.192,339.9949
1.192,319.8782
1.192,438.8782
1.192,321.4772
1.192,320.0863
1.192,262.2893
1.35,1371.869
1.935,922.7766
1.935,897.066
1.935,832.6802
1.941,333.4705
1.941,585.1232
1.941,839.3239
1.941,216.5712
1.941,363.4291
1.941,836.6211
1.945,1494.059
1.97,996.0521
1.979,843.2169
2.347,645.3553
2.347,903.2423
2.347,1077.6508
2.347,711.3469
2.347,640.1269
2.347,624.7092
2.347,845.49
2.437,1387.5178
2.437,1387.2538
2.45,1043.0812
3.329,1773.1069
3.329,1680.8369
3.329,2017.239
3.537,1010.4976
3.537,949.5736
3.537,1881.6049
3.537,1004.868
3.537,939.3198
3.912,1473.6327
3.912,1405.6888
3.912,1703.8021
3.916,850.4865
3.916,829.9661
3.925,2398.1569
3.925,2010.064
4.284,1242.8985
4.284,1230.6548
4.318,1926.9234
4.318,1798.9337
4.41,2308.1015
4.41,2274.7069
5.1,1914.3381
5.1,1837.1573
5.275,2947.2269
5.275,2395.909
5.892,3354.8371
5.896,2754.819
5.901,1373.3612
6.256,2205.7208
6.256,2619.6622
6.256,2623.6396
6.256,2299.3858
6.256,2127.2386
6.256,2619.114
6.256,2606.1242
6.271,3200.4518
7.237,3649.0969
7.446,2429.2517
7.446,2413.5834
7.447,2764.6044
7.447,2721.2538
7.461,4122.309
7.832,4979.2071
7.859,1909.5462
8.214,2820.3502
8.214,2815.9711
8.215,4348.8609
8.215,3176.7499
8.215,3085.7653
8.243,4066.8223
9.042,1787.5634
9.042,3213.5584
9.042,1594.4822
9.042,3201.9746
9.227,4283.2869
9.404,3280.5635
9.404,3256.4112
9.407,3226.801
9.407,3209.4796
9.433,5321.2487
10.3,3452.0442
10.3,3331.189
10.4,3610.8252
11.0,2527.4128
11.1,2541.1439
11.1,2527.1061
12.238,2954.834
13.039,2891.4361
15.012,3421.9311
16.97,4428.1511
18.952,4320.8261
20.8,6271.1101
20.8,6219.9052
20.9,5824.3439
20.9,5712.469
23.4,5439.3428
23.4,4642.2511
28.75,9255.0289
28.75,8023.618
28.75,9156.799
28.75,7961.0152
30.7,7617.7728
65.0,41474.6593
65.0,53099.0143
66.0,34343.784
90.0,56884.6543
